proc=10 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=7 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=8 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=2 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=1 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=8 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=2 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=1 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=8 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=2 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=1 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=8 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=2 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=9 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=1 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=3 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=4 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=5 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=6 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=7 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
proc=10 sub=8 sock=2648 win=4294967295 btn=1 group=0 subsrv=0 char=1 enable=0
